UserName,DateTime,FilesChange
TienVM2004,2023-05-15 10:14:21,3
TienVM2004,2023-05-15 10:08:00,2
TienVM2004,2023-05-15 10:04:25,4
TienVM2004,2023-05-15 09:51:53,4
TienVM2004,2023-05-15 06:32:05,10
TienVM2004,2023-05-14 16:49:02,1
TienVM2004,2023-05-14 16:46:58,9
TienVM2004,2023-05-12 07:40:01,4
TienVM2004,2023-05-12 06:25:59,8
TienVM2004,2023-05-12 02:35:29,1
TienVM2004,2023-05-12 01:25:23,1
TienVM2004,2023-05-12 01:23:23,8
TienVM2004,2023-05-11 12:59:23,9
TienVM2004,2023-05-09 03:43:02,1
TienVM2004,2023-05-09 03:39:36,2
TienVM2004,2023-05-09 03:34:52,1
TienVM2004,2023-05-09 03:29:53,1
TienVM2004,2023-05-09 03:26:27,2
TienVM2004,2023-05-08 10:19:12,1
TienVM2004,2023-05-08 09:31:34,11
TienVM2004,2023-05-08 09:28:46,2
TienVM2004,2023-05-08 09:26:57,2
TienVM2004,2023-05-08 09:21:27,9
TienVM2004,2023-05-08 02:46:51,4
TienVM2004,2023-05-05 07:33:58,1
TienVM2004,2023-05-05 07:13:34,10
TienVM2004,2023-05-05 07:04:16,8
TienVM2004,2023-04-28 07:53:38,1
TienVM2004,2023-04-28 07:49:59,1
TienVM2004,2023-04-28 07:45:22,3
TienVM2004,2023-04-28 07:38:08,1
TienVM2004,2023-04-28 07:37:46,1
TienVM2004,2023-04-28 07:34:55,1
TienVM2004,2023-04-28 07:33:44,1
TienVM2004,2023-04-28 07:26:44,19
TienVM2004,2023-04-28 07:14:59,1
TienVM2004,2023-04-28 07:10:21,2
TienVM2004,2023-04-28 06:51:43,1
TienVM2004,2023-04-28 06:08:34,1
TienVM2004,2023-04-28 06:05:17,2
TienVM2004,2023-04-24 10:48:02,13
TienVM2004,2023-04-21 08:40:53,5
TienVM2004,2023-04-21 08:21:35,8
TienVM2004,2023-04-17 04:15:19,18
DucDM2202,2023-05-24 17:07:05,1
DucDM2202,2023-05-22 09:09:36,1
DucDM2202,2023-05-22 09:07:39,2
DucDM2202,2023-05-22 09:06:47,1
DucDM2202,2023-05-22 09:04:00,2
DucDM2202,2023-05-19 06:41:08,1
DucDM2202,2023-05-19 06:37:05,1
DucDM2202,2023-05-19 06:11:09,18
DucDM2202,2023-05-18 17:59:02,1
DucDM2202,2023-05-18 17:57:18,17
DucDM2202,2023-05-15 10:23:44,1
DucDM2202,2023-05-15 09:34:11,1
DucDM2202,2023-05-15 09:12:30,10
DucDM2202,2023-05-14 16:49:02,1
DucDM2202,2023-05-14 16:46:58,9
DucDM2202,2023-05-12 08:09:46,1
DucDM2202,2023-05-12 06:42:21,1
DucDM2202,2023-05-12 06:38:18,1
DucDM2202,2023-05-12 06:37:54,8
DucDM2202,2023-05-12 02:35:29,1
DucDM2202,2023-05-12 01:25:23,1
DucDM2202,2023-05-12 01:23:23,8
DucDM2202,2023-05-11 12:59:23,9
DucDM2202,2023-05-08 18:34:11,1
DucDM2202,2023-05-08 17:33:06,2
DucDM2202,2023-05-08 10:47:36,1
DucDM2202,2023-05-08 10:42:54,1
DucDM2202,2023-05-08 10:27:55,2
DucDM2202,2023-05-08 10:20:19,3
DucDM2202,2023-05-08 10:19:12,1
DucDM2202,2023-05-08 09:50:46,2
DucDM2202,2023-05-08 09:28:46,2
DucDM2202,2023-05-08 09:26:57,2
DucDM2202,2023-05-08 09:25:03,9
DucDM2202,2023-05-08 09:21:27,9
DucDM2202,2023-05-07 16:15:37,26
DucDM2202,2023-05-07 16:07:20,1
DucDM2202,2023-05-05 07:33:58,1
DucDM2202,2023-05-05 07:04:16,8
DucDM2202,2023-04-28 07:49:59,1
DucDM2202,2023-04-28 07:45:22,3
DucDM2202,2023-04-28 07:33:44,1
DucDM2202,2023-04-28 07:14:59,1
DucDM2202,2023-04-28 07:10:21,2
DucDM2202,2023-04-28 06:51:43,1
DucDM2202,2023-04-28 06:08:34,1
DucDM2202,2023-04-28 06:05:17,2
DucDM2202,2023-04-24 10:48:02,13
DucDM2202,2023-04-21 08:40:53,5
DucDM2202,2023-04-21 08:21:35,8
DucDM2202,2023-04-17 04:15:19,18
